2024-06-20 16:22:08.431 [restartedMain] INFO  c.d.Logging.LoggingApplication - Starting LoggingApplication using Java 21.0.2 with PID 15256 (C:\Users\VALENTINA\Desktop\Java\Basic_Java\eserciziSpring\Logging\target\classes started by VALENTINA in C:\Users\VALENTINA\Desktop\Java\Basic_Java\eserciziSpring\Logging)
2024-06-20 16:22:08.438 [restartedMain] INFO  c.d.Logging.LoggingApplication - No active profile set, falling back to 1 default profile: "default"
2024-06-20 16:22:08.652 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-06-20 16:22:08.653 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-06-20 16:22:12.123 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-06-20 16:22:12.184 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-06-20 16:22:12.201 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-06-20 16:22:12.203 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
2024-06-20 16:22:12.435 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-06-20 16:22:12.441 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3782 ms
2024-06-20 16:22:14.120 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-06-20 16:22:14.176 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-06-20 16:22:14.246 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2024-06-20 16:22:14.297 [restartedMain] INFO  c.d.Logging.LoggingApplication - Started LoggingApplication in 7.319 seconds (process running for 9.158)
