2024-06-20 16:24:53.432 [restartedMain] INFO  c.d.Logging.LoggingApplication - Starting LoggingApplication using Java 21.0.2 with PID 12924 (C:\Users\VALENTINA\Desktop\Java\Basic_Java\eserciziSpring\Logging\target\classes started by VALENTINA in C:\Users\VALENTINA\Desktop\Java\Basic_Java\eserciziSpring\Logging)
2024-06-20 16:24:53.444 [restartedMain] INFO  c.d.Logging.LoggingApplication - No active profile set, falling back to 1 default profile: "default"
2024-06-20 16:24:53.662 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-06-20 16:24:53.664 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-06-20 16:24:58.907 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-06-20 16:24:58.961 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-06-20 16:24:58.974 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-06-20 16:24:58.976 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
2024-06-20 16:24:59.126 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-06-20 16:24:59.139 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5460 ms
2024-06-20 16:25:00.564 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-06-20 16:25:00.598 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-06-20 16:25:00.650 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2024-06-20 16:25:00.696 [restartedMain] INFO  c.d.Logging.LoggingApplication - Started LoggingApplication in 10.348 seconds (process running for 12.505)
